document_id,dominant_topic,dominant_probability,topic_distribution,token_count
elsevier_paper_1375,0,0.908282,"{""0"": 0.908282, ""1"": 0.082677, ""2"": 8.8e-05, ""3"": 0.008954}",326
elsevier_paper_1376,3,0.809758,"{""0"": 0.010684, ""1"": 1.6e-05, ""2"": 0.179542, ""3"": 0.809758}",4956
elsevier_paper_1378,0,0.870302,"{""0"": 0.870302, ""1"": 0.0984, ""2"": 0.031261, ""3"": 3.7e-05}",407
elsevier_paper_1379,1,0.512297,"{""0"": 0.024453, ""1"": 0.512297, ""2"": 0.463245, ""3"": 4e-06}",4639
elsevier_paper_138,1,0.980702,"{""0"": 0.019292, ""1"": 0.980702, ""2"": 4e-06, ""3"": 2e-06}",5678
elsevier_paper_1393,3,0.999697,"{""0"": 0.000292, ""1"": 8e-06, ""2"": 3e-06, ""3"": 0.999697}",7653
elsevier_paper_1397,0,0.999789,"{""0"": 0.999789, ""1"": 0.000137, ""2"": 4.7e-05, ""3"": 2.7e-05}",580
elsevier_paper_1404,0,0.999583,"{""0"": 0.999583, ""1"": 0.000272, ""2"": 9.2e-05, ""3"": 5.3e-05}",275
elsevier_paper_1405,0,0.943967,"{""0"": 0.943967, ""1"": 0.039227, ""2"": 0.016774, ""3"": 3.2e-05}",497
elsevier_paper_142,0,0.999757,"{""0"": 0.999757, ""1"": 0.000158, ""2"": 5.4e-05, ""3"": 3.1e-05}",502
elsevier_paper_1421,3,0.971464,"{""0"": 0.000253, ""1"": 8e-06, ""2"": 0.028275, ""3"": 0.971464}",7708
elsevier_paper_143,0,0.93182,"{""0"": 0.93182, ""1"": 0.068074, ""2"": 6.7e-05, ""3"": 3.8e-05}",404
elsevier_paper_1433,0,0.999798,"{""0"": 0.999798, ""1"": 0.000132, ""2"": 4.5e-05, ""3"": 2.6e-05}",596
elsevier_paper_1439,1,0.92819,"{""0"": 0.071803, ""1"": 0.92819, ""2"": 5e-06, ""3"": 3e-06}",5439
elsevier_paper_144,0,0.8115,"{""0"": 0.8115, ""1"": 0.167124, ""2"": 5.3e-05, ""3"": 0.021323}",467
elsevier_paper_1441,2,0.675005,"{""0"": 0.090851, ""1"": 0.078153, ""2"": 0.675005, ""3"": 0.155991}",3702
elsevier_paper_1448,0,0.999652,"{""0"": 0.999652, ""1"": 0.000227, ""2"": 7.7e-05, ""3"": 4.4e-05}",315
elsevier_paper_1449,0,0.966452,"{""0"": 0.966452, ""1"": 0.033334, ""2"": 0.000136, ""3"": 7.8e-05}",188
elsevier_paper_145,0,0.999988,"{""0"": 0.999988, ""1"": 8e-06, ""2"": 3e-06, ""3"": 1e-06}",10008
elsevier_paper_1455,0,0.740786,"{""0"": 0.740786, ""1"": 0.219885, ""2"": 0.039279, ""3"": 5e-05}",337
elsevier_paper_1457,0,0.782153,"{""0"": 0.782153, ""1"": 0.21781, ""2"": 2.4e-05, ""3"": 1.4e-05}",1675
elsevier_paper_146,0,0.973034,"{""0"": 0.973034, ""1"": 9.1e-05, ""2"": 0.026857, ""3"": 1.8e-05}",1623
elsevier_paper_1465,0,0.999712,"{""0"": 0.999712, ""1"": 0.000187, ""2"": 6.4e-05, ""3"": 3.7e-05}",388
elsevier_paper_1476,0,0.905349,"{""0"": 0.905349, ""1"": 0.036559, ""2"": 0.058056, ""3"": 3.6e-05}",398
elsevier_paper_1482,0,0.637884,"{""0"": 0.637884, ""1"": 0.325292, ""2"": 5.8e-05, ""3"": 0.036766}",444
elsevier_paper_1485,2,0.753499,"{""0"": 0.104734, ""1"": 0.080859, ""2"": 0.753499, ""3"": 0.060908}",2345
elsevier_paper_1488,0,0.510992,"{""0"": 0.510992, ""1"": 0.000117, ""2"": 0.488868, ""3"": 2.3e-05}",1585
elsevier_paper_1490,0,0.897884,"{""0"": 0.897884, ""1"": 0.101989, ""2"": 8.1e-05, ""3"": 4.6e-05}",363
